title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
Base cartográfica - Sistema de Informação Geográfica (SIG),"Diversos mapas digitais da cidade de Campinas,SP:  Transporte, linhas de onibus, cadastro vias, ciclovias,ciclofaixas,terminais, radares (formato shape file / qgis)","transporte, linhas-de-onibus, cadastro-vias, faixas, ciclovias,ciclofaixas,terminais,radares",,EMDEC,,,https://onedrive.live.com/?authkey=%21AOoF1qWpaO67vnc&id=166A4B8DDB6B8E0F%21162607&cid=166A4B8DDB6B8E0F,,,,Diversos,,emdec
Multas radares e semáforos - Campinas,,"transporte,vdm",out/16 e out/17,EMDEC,,,https://onedrive.live.com/view.aspx?cid=166a4b8ddb6b8e0f&page=view&resid=166A4B8DDB6B8E0F!162682&parId=166A4B8DDB6B8E0F!162681&authkey=!AOoF1qWpaO67vnc&app=Excel,,,,Excel,,emdec
GeoSAMPA,"Mapa Digital da Cidade (MDC), base cartográfica digital cadastral nas escalas 1:1.000, na área urbana, e 1:5.000, na área rural do Município de São Paulo. Além do mapa, o portal conta com o acesso aos metadados,
ferramentas de geoprocessamento, noticias e outros dados de
interesse aos usuários. A partir do mapa também é possível
realizar download de arquivos georreferenciados, mapas, plantas,
croquis, imagens de satélite, fotos aéreas e ortofotos","transporte, mapa, shape, diversos",,São Paulo,,,http://geosampa.prefeitura.sp.gov.br/,,,,HTML,,prefeiturasp
SPTrans - Olhovivo (área  de desenvolvedores),A API do Olho Vivo provê informações em tempo real do monitoramento da frota de ônibus da cidade de São Paulo.,"transporte, gtfs, gps, tempo-real",tempo real,SPTrans,,,www.sptrans.com.br/desenvolvedores/,,,Para download do arquivo é necessário cadastro.,HTML,cadastro,sptrans
GTFS (última versão),,"transporte, gtfs",,SPTrans,,,www.sptrans.com.br/desenvolvedores/,,,,HTML,,sptrans
GTFS - outubro/2016,,,out/2016,SPTrans,,,,,,,csv,,sptrans
GTFS - outubro/2017,,,out/2017,SPTrans,,,,,,,csv,,sptrans
Dados históricos GPS - out/2016,,,out/2016,SPTrans,,,,,,,csv,,sptrans
Dados históricos GPS - out/2017,,,out/2017,SPTrans,,,,,,,csv,,sptrans
Informações dos Municípios Paulistas - IMP,"Mais de 1.700 variáveis sobre os municípios paulistas. Séries históricas, reunidas em diversos temas, como população, educação, condições de vida e habitação, entre outros.",,,seade,,,http://www.imp.seade.gov.br/frontend/#/,,,,,,seade
Governo Aberto,Catálogo de mais de 400 bases de dados abertos (100 disponíveis para download) dos órgãos do Governo de São Paulo,,,seade,,,http://www.governoaberto.sp.gov.br/,,,,,,seade
Microdados do Registro Civil,Dados detalhados sobre nascimentos e óbitos no Estado de São Paulo.,,,seade,,,http://produtos.seade.gov.br/produtos/mrc/,,,,,,seade
Perfil Municipal,Principais indicadores para os municípios e regiões do Estado de São Paulo.,,,seade,,,http://www.perfil.seade.gov.br/,,,,,,seade
Índice Paulista da Primeira Infância,Indicador da capacidade dos municípios paulistas em promover o desenvolvimento infantil dos 0 aos 6 anos.,,,seade,,,http://www.ippih.seade.gov.br/frontend/#/,,,,,,seade
Guia de Serviços Públicos,Catálogo dos serviços públicos disponibilizados pelo Governo de São Paulo,,,seade,,,,,,,,,seade
Relação de Nomes e Cargos,Quem é quem na administração pública paulista.,,,seade,,,http://www.seade.gov.br/produtos/rnc/,,,,,,seade
Informações Eleitorais,"Resultado das eleições no Estado de São Paulo, com o histórico dos candidatos e partidos desde 1974.",,,seade,,,http://produtos.seade.gov.br/produtos/eleicoes/,,,,,,seade
O Estado de São Paulo e suas Regionalizações,Organização territorial dos municípios e regiões paulistas.,,,seade,,,http://produtos.seade.gov.br/produtos/divpolitica/,,,,,,seade
Mortaluidade Infantil,Dados e indicadores sobre mortalidade infantil nos municípios paulistas.,,,seade,,,http://www.seade.gov.br/produtos/mortalidade-infantil/,,,,,,seade
Sistema de Informações Municipais para Educação - SIM Educação,"Panorama da oferta, demanda e resultados da educação básica no Estado de São Paulo.",,,seade,,,http://www.fde.sp.gov.br/simeducacao/graficos/mapas.html,,,,,,seade
Indice Paulista de Responsabilidade Social - IPRS,"Indicador de qualidade de vida nos municípios pelas dimensões riqueza, escolaridade e longevidade.",,,seade,,,http://www.iprs.seade.gov.br/iprs2016/view/index.php?prodCod=1,,,,,,seade
